ID,Model,Date Aquired,VIN or Serial,License,Assigned Location,Vehicle,Tag,Service Info
G323,Grinder Morbark 4600XLT,1/16/2017,188-1159,*,div 9,Photos/Library/G323-P.jpg,Photos/Library/G323-T.jpg,N/A
E119,Excavator JohnDeere 210G,1/1/2015,1FF210GXTEE522494,*,div 9,Photos/Library/E119-P.jpg,Photos/Library/E119-T.jpg,N/A
E381,Excavator Komatsu 220 PC220LC-8,7/22/2014,A88886,*,div 9,Photos/Library/E381-P.jpg,Photos/Library/E381-T.jpg,N/A
E382,Excavator Komatsu 210,2/28/2014,7/19/3134,*,div 9,Photos/Library/E382-P.jpg,Photos/Library/E382-T.jpg,N/A
E383,Excavator John Deere 225,8/31/2015,FF225CX500572,*,div 9,Photos/Library/E383-P.jpg,Photos/Library/E383-T.jpg,N/A
E385,Excavator Hitachi ZX250 LC-6,1/1/2019,1FFDC270HJF440086,*,div 9,Photos/Library/E385-P.jpg,Photos/Library/E385-T.jpg,N/A
E386,Excavator Hitachi ZX300 LC-6,1/1/2019,1FFDDP70CGF840123,*,div 9,Photos/Library/E386-P.jpg,Photos/Library/E386-T.jpg,N/A
D302,Bulldozer CAT D6T,7/22/2014,LAY00560,*,div 9,Photos/Library/D302-P.jpg,Photos/Library/D302-T.jpg,N/A
D303,Bulldozer John Deere 750,8/31/2015,T0750JX167196,*,div 9,Photos/Library/D303-P.jpg,Photos/Library/D303-T.jpg,N/A
D304,Bulldozer John Deere 700J,3/29/2017,T0700JX124682,*,div 9,Photos/Library/D304-P.jpg,Photos/Library/D304-T.jpg,N/A
A-EB1,Bucket H & H 1.25 yds JD210G,*,Tooth Size U35S,*,div 9,Photos/Library/A-EB1-P.jpg,Photos/Library/A-EB1-T.jpg,N/A
A-EB2,Bucket Hensley 1.85yds (for PC220),*,*,*,div 9,Photos/Library/A-EB2-P.jpg,Photos/Library/A-EB2-T.jpg,N/A
A-EB3,Bucket Esco 1.875yds (for PC220-290),*,Tooth Size U40,*,div 9,Photos/Library/A-EB3-P.jpg,Photos/Library/A-EB3-T.jpg,N/A
A-GR1,Grapple Geith (fits 350 Hitachi),*,*,*,div 9,Photos/Library/A-GR1-P.jpg,Photos/Library/A-GR1-T.jpg,N/A
A-GR2,Grapple Rockland w/ Hydraulic Cylinder,*,*,*,div 9,Photos/Library/A-GR2-P.jpg,Photos/Library/A-GR2-T.jpg,N/A
A-GR3,Grapple Lemac (for 160-220),*,*,*,div 9,Photos/Library/A-GR3-P.jpg,Photos/Library/A-GR3-T.jpg,N/A
A-GR4,Grapple Rockland (for 290-350),*,*,*,div 9,Photos/Library/A-GR4-P.jpg,Photos/Library/A-GR4-T.jpg,N/A
A-GR5,Grapple No Brand Name (for 220-290),*,*,*,div 9,Photos/Library/A-GR5-P.jpg,Photos/Library/A-GR5-T.jpg,N/A
A-DR1,Root Rake (Dozer) Rome (fits D6R),*,*,*,div 9,Photos/Library/A-DR1-P.jpg,Photos/Library/A-DR1-T.jpg,N/A
A-SS2,Stump Shear CBI (fits 350 Hitachi),*,SS-30,*,div 9,Photos/Library/A-SS2-P.jpg,Photos/Library/A-SS2-T.jpg,N/A
TRL351,Trinity Eagle Bridge Belt (JASON),12/20/2013,1T9SC42246B656120,514115TL,div 9,Photos/Library/TRL351-P.jpg,Photos/Library/TRL351-T.jpg,N/A
TRL352,Eager Beaver 50T Lowboy,12/20/2013,112SD24816L070514,576708TL,div 9,Photos/Library/TRL352-P.jpg,Photos/Library/TRL352-T.jpg,N/A
TRL353,Hurst Tag Along Utility Trailer,12/20/2013,1H9T52327T1057004,506716TL,div 9,Photos/Library/TRL353-P.jpg,Photos/Library/TRL353-T.jpg,N/A
TRL356,Cherokee Van Trailer,12/20/2013,4RMES1623XF998098,506714TL,div 9,Photos/Library/TRL356-P.jpg,Photos/Library/TRL356-T.jpg,N/A
TRL357,Texas Bragg Tag Along,12/20/2013,17XFC1628X1990155,506717TL,div 9,Photos/Library/TRL357-P.jpg,Photos/Library/TRL357-T.jpg,N/A
TRL358,Cherokee Van Trailer,12/20/2013,4RMES12212F001694,506715TL,div 9,Photos/Library/TRL358-P.jpg,Photos/Library/TRL358-T.jpg,N/A
TRL360,Lowboy Eager Beaver,1/23/2015,112SD5535FL080015,612692TL,div 9,Photos/Library/TRL360-P.jpg,Photos/Library/TRL360-T.jpg,N/A
TRL361,LCM Diesel Tanks Trailer,7/27/2016,6/6/2875,720063TL,div 9,Photos/Library/TRL361-P.jpg,Photos/Library/TRL361-T.jpg,N/A
T48,Pickup Truck Ford (2017 P.J.),11/27/2017,1FD8W3F65HEE29286,TX209341,div 9,Photos/Library/T48-P.jpg,Photos/Library/T48-T.jpg,N/A
T50,Pickup Truck Ford F-150 (2018 Mike W.),4/30/2018,1FTEW1EG1JFA68578,UZV-9097,div 9,Photos/Library/T50-P.jpg,Photos/Library/T50-T.jpg,N/A
T235,Pickup Truck F-250 (2012),8/31/2012,1FT7X2B62CEB52439,TV55543,div 9,Photos/Library/T235-P.jpg,Photos/Library/T235-T.jpg,N/A
